seq,recv_bytes,latency_us,recv_ns
1011,512,128,824948229363558
1012,512,128,824948230721000
1013,512,129,824948232077639
1014,512,129,824948233433430
1015,512,134,824948234793827
1016,512,123,824948236050163
1017,512,140,824948237437781
1018,512,126,824948238682557
1019,512,125,824948240040165
1020,512,125,824948241392906
1021,512,125,824948242745040
1022,512,139,824948244111511
1023,512,170,824948245494440
1024,512,130,824948246631980
1025,512,141,824948248055078
1026,512,129,824948249402835
1027,512,127,824948250638498
1028,512,125,824948251993898
1029,512,126,824948253347646
1030,512,128,824948254702061
1031,512,126,824948256050932
1032,512,127,824948257437735
1033,512,125,824948258790276
1034,512,127,824948260143805
1035,512,133,824948261551467
1036,512,84,824948262656324
1037,512,99,824948264000671
1038,512,101,824948265352079
1039,512,101,824948266700977
1040,512,100,824948268050051
1041,512,102,824948269399395
1042,512,84,824948270708549
1043,512,169,824948272142070
1044,512,130,824948273509495
1045,512,131,824948274880140
1046,512,123,824948276248581
1047,512,95,824948277321217
1048,512,101,824948278667049
1049,512,82,824948279983016
1050,512,81,824948281086689
1051,512,86,824948282408678
1052,512,99,824948283754535
1053,512,100,824948285101744
1054,512,111,824948286390468
1055,512,100,824948287740822
1056,512,80,824948289102166
1057,512,103,824948290418214
1058,512,88,824948291655375
1059,512,101,824948293005721
1060,512,100,824948294396537
1061,512,78,824948295566520
1062,512,74,824948296822338
1063,512,82,824948297963872
1064,512,100,824948299313343
1065,512,83,824948300632930
1066,512,81,824948301962333
1067,512,99,824948303310202
1068,512,99,824948304657130
1069,512,98,824948306001967
1070,512,107,824948307355895
1071,512,98,824948308702625
1072,512,97,824948310048352
1073,512,109,824948311405642
1074,512,92,824948312795697
1075,512,100,824948314134763
1076,512,101,824948315483083
1077,512,76,824948316674975
1078,512,102,824948318031321
1079,512,101,824948319380872
1080,512,101,824948320731016
1081,512,151,824948322140230
1082,512,131,824948323509396
1083,512,188,824948324983841
1084,512,134,824948326256696
1085,512,143,824948327635702
1086,512,125,824948328982220
1087,512,138,824948330346882
1088,512,146,824948331704833
1089,512,156,824948333068461
1090,512,137,824948334259193
1091,512,139,824948335624125
1092,512,129,824948336786612
1093,512,129,824948338141271
1094,512,127,824948339494470
1095,512,128,824948340849245
1096,512,130,824948342205966
1097,512,128,824948343557737
1098,512,132,824948344948023
1099,512,122,824948346102159
1100,512,131,824948347465656
1101,512,126,824948348720660
1102,512,127,824948350077010
1103,512,127,824948351432873
1104,512,126,824948352786014
1105,512,138,824948354153716
1106,512,129,824948355499500
1107,512,195,824948356985168
1108,512,134,824948358328331
1109,512,130,824948359684126
1110,512,141,824948360942057
1111,512,131,824948362290301
1112,512,128,824948363667771
1113,512,127,824948365024245
1114,512,125,824948366376784
1115,512,130,824948367737382
1116,512,129,824948369093702
1117,512,132,824948370453080
1118,512,185,824948371881728
1119,512,184,824948373293612
1120,512,177,824948374694226
1121,512,186,824948376124961
1122,512,148,824948377488091
1123,512,142,824948378762094
1124,512,132,824948380158557
1125,512,129,824948381312986
1126,512,131,824948382712118
1127,512,126,824948384064893
1128,512,141,824948385431833
1129,512,132,824948386778662
1130,512,128,824948388175174
1131,512,129,824948389531787
1132,512,127,824948390887961
1133,512,127,824948392241524
1134,512,127,824948393597939
1135,512,125,824948394959654
1136,512,121,824948396134642
1137,512,128,824948397499825
1138,512,136,824948398901171
1139,512,85,824948399988064
1140,512,99,824948401187724
1141,512,99,824948402537137
1142,512,83,824948403884034
1143,512,82,824948405201747
1144,512,82,824948406518981
